蘩 艹𠂉母攵糸
蕃 艹釆田
樊 木乂乂木大
矾 石凡
蹯 ⻊釆田
繁 𠂉母攵糸
钒 钅凡
凡 凡
烦 火页
燔 火釆田
反 ⺁又
返 辶⺁又
范 艹氵⺋
梵 木木凡
畈 田⺁又
贩 贝⺁又
饭 饣⺁又
犯 犭⺋
泛 氵ノ之
坊 土方
芳 艹方
枋 木方
匚 匚
腽 钅方
邡 方阝
方 方
肪 月方
鲂 鱼方
房 户方
防 阝方
妨 女方
仿 亻方
彷 彳方
舫 舟方
访 讠方
纺 纟方
放 方攵
菲 艹非
霏 雨非
啡 口非
蜚 非虫
非 非
鲱 鱼非
扉 户非
飞 
绯 纟非
妃 女己
腓 月非
肥 月巴
淝 氵月巴
榧 木匚非
匪 匚非
斐 非文
翡 非习习
篚 ⺮匚非
诽 讠非
悱 忄非
吠 口大丶
镄 钅弓贝
肺 月一巾
狒 犭弓
痱 疒非
废 广󰄃丿又丶
沸 氵弓
费 弓贝
玢 王八刀
棻 艹八刀木
芬 艹八刀
酚 酉八刀
吩 口八刀
氛 气八刀
分 八刀
纷 纟八刀
坟 土文
棼 木木八刀
焚 木木火
鼢 臼八刀
汾 氵八刀
瞓 目言川
粉 米八刀
奋 大田
偾 亻十艹贝
份 亻八刀
忿 八刀心
鲼 鱼十艹贝
愤 忄十艹贝
粪 米󰁺八
瀵 氵米田󰁺八
封 土土寸
酆 豐阝
丰 丰
葑 艹土土寸
枫 木几乂
砜 石几乂
蜂 虫夂丰
峰 山夂丰
锋 钅夂丰
风 几乂
疯 疒几乂
烽 火夂丰
沣 氵丰
冯 冫马
逢 辶夂丰
缝 纟辶夂丰
唪 口
讽 讠几乂
奉 
俸 亻
凤 几又
佛 亻弓
否 不口
缶 𠂉十凵
夫 二人
麸 夂二人
敷 甫方攵
呋 口二人
趺 ⻊二人
跗 ⻊亻寸
稃 禾爫子
伕 亻二人
肤 月二人
孵 󰁚丶丿卩丶爫子
巿 一巾
扶 扌二人
拂 扌弓
芾 艹一巾
芙 艹二人
苻 艹亻寸
茯 艹亻大丶
莩 艹爫子
菔 艹月卩又
桴 木爫子
砩 石弓
辐 车一口田
蝠 虫一口田
蚨 虫二人
蜉 虫爫子
黻 业氺冂又丶
幅 巾一口田
幞 巾业
罘 罒不
符 ⺮亻寸
氟 气弓
伏 亻大丶
俘 亻爫子
彿 彳弓
郛 爫子阝
孚 爫子
服 月卩又
匐 勹一口田
凫 几
怫 忄弓
浮 氵爫子
涪 氵立口
福 礻一口田
祓 礻又丶
稼 衤亻大丶
艴 弓⺈巴
弗 弓
绂 纟又丶
绋 纟弓
抚 扌一尢
拊 扌亻寸
甫 甫
辅 车甫
呒 口一尢
黼 业氺冂甫
俯 亻广亻寸
釜 八乂王丷
斧 八乂斤
脯 月甫
腑 月广亻寸
腐 广亻寸冂人人
府 广亻寸
滏 氵八乂王丷
副 一口田刂
赴 走卜
覆 覀彳𠂉日夂
蝮 虫𠂉日夂
咐 口亻寸
赋 贝一弋止
赙 贝甫寸
阜 ノ󰃧十
复 𠂉日夂
馥 禾日𠂉日夂
付 亻寸
傅 亻甫寸
父 八乂
腹 月𠂉日夂
负 ⺈贝
鳆 鱼𠂉日夂
鲋 鱼亻寸
讣 讠卜
富 宀一口田
褔 衤一口田
驸 马亻寸
附 阝亻寸
阝 阝
缚 纟甫寸
妇 女彐
伽 亻力口
旮 九日
嘎 口一自戈
噶 口艹日匃
尜 小大小
钆 钅乚
尕 ㄋ丿小
尬 尢人
垓 土亠人
赅 贝亠人
该 讠亠人
陔 阝亠人
改 攵
丐 一┝ ㄅ
概 木匚儿
钙 钅一┝ ㄅ
盖 ⺷皿
溉 氵匚儿
戤 ㄋ丿又皿戈
干 一十
坩 土甘
苷 艹甘
甘 甘
杆 木一十
柑 木甘
酐 酉一十
尴 尢〢皿
竿 ⺮一十
肝 月一十
疳 疒甘
泔 氵甘
赶 走一十
擀 扌十日十人一十
橄 木乛耳攵
感 戊一口心
秆 禾一十
澉 氵乛耳攵
敢 乛耳攵
矸 石一十
旰 日一十
赣 立日十夂工贝
淦 氵金
绀 纟甘
刚 冈刂
冈 冂乂
罡 罒一止
岗 山冈
缸 𠂉十凵工
钢 钅冈
肛 月工
纲 纟冈
港 氵󰁺八巳
杠 木工
筻 ⺮一日乂
戆 立日十夂工贝心
槔 木白大十
睾 ノ皿辛
篙 ⺮亠口⺌
皋 白大十
高 亠口⺌
膏 亠口冖口月
羔 ⺷灬
糕 米⺷灬
搞 扌亠口⺌
藁 艹亠口⺌木
槁 木亠口⺌
杲 日木
稿 禾亠口⺌
镐 钅亠口⺌
缟 纟亠口⺌
郜 󰅃口阝
告 󰅃口
锆 钅󰅃口
诰 讠󰅃口
歌 丅口丁口欠
哥 丅口丁口
圪 土𠂉乙
搁 扌门夂口
戈 戈
鸽 人一口鸟
胳 月夂口
疙 疒𠂉乙
割 宀丰口刂
袼 衤夂口
纥 纟𠂉乙
鬲 一口
塥 土一口
葛 艹日匃
革 革
格 木夂口
蛤 虫人一口
嗝 口一口
骼 骨夂口
搿 人一口手
镉 钅一口
膈 月一口
阁 门夂口
隔 阝一口
舸 舟丁口
哿 力口丁口
硌 石夂口
虼 虫𠂉乙
个 人丨
铬 钅夂口
各 夂口
给 纟人一口
根 木艮
跟 󰅃艮
哏 口艮
亘 二日
茛 艹艮
艮 艮
