⺁	⺁丿丿
㡅	冂丨夕夕
㡆	冂丨亠󰀸
㡇	冂丨耳乚
㡈	冂丨⺈󰁜
㡉	冂丨弓幺
㡊	冂丨⺈臼
㡋	冂丨大乚
㡌	冂丨󰀰月
㡍	白大冂丨
㡎	冂丨厶彡
㡏	冂丨人刂
㡐	冂丨䒑刂
㡑	禾火冂丨
㡒	冂丨⺁目
㡓	冂丨冖車
㡔	󰁻乛亅丨
㡕	冂丨艹大
㡖	冂丨丿土
㡗	冂丨⺁几
㡘	冂丨䒑八
㡙	冂丨丿匕
㡚	冂丨󰀀土
㡛	冂丨艹󰀸
㡜	冂丨󰁯小
㡝	冂丨夂辶
㡞	冂丨󰀻女
㡟	冂丨一日
㡠	冂丨癶䒑
㡡	冂丨厂寸
㡢	冂丨日󰁡
㡣	亠丷冖三
㡤	冂丨业未
㡥	冂丨爫心
㡦	冂丨宀貝
㡧	冂丨宀䒑
㡨	冂丨人󰀞
㡩	言糹糹丨
㡪	冂丨爫夂
㡫	幺日勹󰄃
㡬	幺幺戈󰁡
㡭	幺幺一󰄃
㡮	幺幺戈气
㡯	广丿七󰁫
㡰	广一󰀛󰀵
㡱	广ク󰂃󰀦
㡲	广戈󰀦
㡳	广󰁚󰀁󰁫
㡴	广立󰀌
㡵	广人丶󰁻
㡶	广口八󰀦
㡷	广木一󰀌
㡸	广𠂉丨二
㡹	广󰀐一󰀌
㡺	广日一󰀌
㡻	广󰁚丿卩
㡼	广日󰁒丿
㡽	广󰁬󰀟󰀵
㡾	广艮󰀦
㡿	广䒑凵丿
㢀	广木冂󰁫
㢁	广夕夕󰀦
㢂	广丿󰃧󰀌
㢃	广丶艮󰀦
㢄	广一口䒑
㢅	广王廾󰀵
㢆	广日土󰀌
㢇	广言󰀌
㢈	广亻󰁷󰀌
㢉	广禾丿七
㢊	广大丁口
㢋	广亻夕夕
㢌	广阝丁口
㢍	广艹ㄇ大
㢎	广丿十臼
㢏	广人一刂
㢐	广ㄇ󰁈口
㢑	广亻󰁷十
㢒	广虍󰀐一
㢓	广立早󰀵
㢔	广彳人󰁾
㢕	广󰁲丿󰁷
㢖	广丿米田
㢗	广丿大口
㢘	广䒑󰁬灬
㢙	广廿口力
㢚	广虍田力
㢛	广人一人
㢜	广廿田心
㢝	广󰁢灬禾
㢞	广羽田八
㢟	󰀥󰄃廴󰁫
㢠	冂口廴󰀌
㢡	爿󰁝寸廾
㢢	⺌冂口廾
㢣	艹勹口廾
㢤	十󰀁󰁡丶
㢥	冂一口丶
㢦	丁口丁丶
㢧	弓一󰀌
㢨	弓干󰀢
㢩	弓勹丶󰁶
㢪	弓二ㄅ󰁀
㢫	弓山󰀢
㢬	弓厶󰁶
㢭	弓󰀥又󰁶
㢮	弓𠂉也󰁀
㢯	弓󰁂󰀁󰁀
㢰	弓皮󰁶
㢱	弓厶小󰁶
㢲	弓弓一八
㢳	弓𠂉󰀕󰁶
㢴	弓囗󰁤丶
㢵	弓人一口
㢶	弓丆日󰀝
㢷	弓山夕󰁶
㢸	弓弓攵󰁶
㢹	弓辛󰀢
㢺	弓立女󰀝
㢻	弓禾女󰀝
㢼	弓㡀󰁶
㢽	弓耳弓󰁀
㢾	弓覀土󰀝
㢿	弓亻ユ大
㣀	弓十󰀣八
㣁	弓󰁺丿用
㣂	弓一口丨
㣃	弓亠厶弓
㣄	弓氵匚木
㣅	弓󰀄󰁜日
㣆	弓一八王
㣇	彑󰁤冂丨
㣈	彑󰁤冂丨
㣉	工彡󰁥
㣊	夂彡󰁣
㣋	二󰀯丶彡
㣌	󰀥口彡󰁥
㣍	厶口彡󰁥
㣎	白小彡󰁣
㣏	大早彡󰁥
㣐	白水彡󰁥
㣑	广󰁬月彡
㣒	丷󰀺日彡
㣓	󰀥夕又彡
㣔	彳丁󰀢
㣕	彳大󰁶
㣖	彳大丶󰁶
㣗	彳丶尸󰁥
㣘	彳勹口󰀝
㣙	彳由󰀝
㣚	彳冂一口
㣛	彳人一口
㣜	彳一廾刂
㣝	彳戈󰁥
㣞	彳八厶儿
㣟	彳士口󰀝
㣠	彳丨夂󰁦
㣡	彳亻口丨
㣢	彳丷弓丿
㣣	彳大人人
㣤	彳戈戈󰁶
㣥	彳亻土寸
㣦	彳禾女󰀝
㣧	彳幺月乚
㣨	彳女古󰀝
㣩	彳木木󰁶
㣪	彳爫一又
㣫	彳丿一土
㣬	彳口耳󰀝
㣭	彳乂凵夂
㣮	彳十冂十
㣯	彳尸⺌月
㣰	彳丿米心
㣱	彳貝󰁶
㣲	彳山一攵
㣳	彳𠂉一灬
㣴	彳󰁺由八
㣵	彳土羊辶
㣶	彳亠囗一
㣷	彳宀心丁
㣸	彳业󰀓
㣹	彳广亻心
㣺	忄丶󰀦
㣻	乂心󰁧
㣼	忄刀丶󰁶
㣽	女心󰁧
㣾	忄又丶󰁶
㣿	忄勹丶󰁶
㤀	丿󰂃󰄃心
㤁	一大心󰁧
㤂	乃󰂃心󰁧
㤃	忄方󰁥
㤄	忄一冂丨
㤅	󰀄󰁜心󰁧
㤆	忄⺁又󰁶
㤇	忄丿大󰁶
㤈	忄心󰁶
㤉	忄󰀄亅丿
㤊	忄乂乂󰁶
㤋	忄八刀󰁥
㤌	忄甘󰀝
㤍	工一ㄅ心
㤎	力口心󰁧
㤏	忄夂󰁦󰁶
㤐	󰀥口心󰁧
㤑	忄口󰀝
㤒	忄大十󰀢
㤓	忄木一󰀝
㤔	忄亻寸󰁶
㤕	忄凵山󰀢
㤖	忄宀丁󰀢
㤗	三人⺗󰁧
㤘	忄⺈彐󰀝
㤙	囗󰁃心󰁧
㤚	忄彳一丁
㤛	忄亻丿土
㤜	忄戈人󰁶
㤝	忄亠厶儿
㤞	忄宀丿七
㤟	ㄇ󰁺心󰁧
㤠	一夕刂心
㤡	忄一夕刂
㤢	忄月󰀝
㤣	䒑廾心󰁧
㤤	忄日乂󰁶
㤥	忄亠ㄥ人
㤦	忄一口乂
㤧	忄⺁一口
㤨	忄󰁺八󰁶
㤩	夂口心󰁧
㤪	一夕⺋心
㤫	月心󰁧
㤬	忄土土󰀝
㤭	忄丿大󰀯
㤮	犭󰁥王心
㤯	忄冂八口
㤰	亻𠂉丨心
㤱	忄一口䒑
㤲	大人人心
㤳	忄丆卜口
㤴	忄耳乚󰁀
㤵	孑攵心󰁧
㤶	忄乚丶
㤷	忄人丶口
㤸	忄土󰁖󰁶
㤹	忄一氺丶
㤺	忄亠󰄃󰀸
㤻	󰁚丶丿心
㤼	忄土厶力
㤽	忄三丿寸
㤾	忄冖八木
㤿	忄大日乚
㥀	忄十󰀣󰀝
㥁	十罒󰄃心
㥂	忄日一寸
㥃	忄門󰀝
㥄	忄土八夂
㥅	忄爫冖又
㥆	忄󰁬氺󰁶
㥇	忄戈戈󰁶
㥈	冂丨󰀥心
㥉	忄立口󰀝
㥊	忄月月󰀝
㥋	亻亠󰀔心
㥌	忄勹米󰁶
㥍	忄󰀎八󰁶
㥎	禾勹丿心
㥏	忄ㄇ󰁺八
㥐	人一口心
㥑	丆󰀐冖心
㥒	忄爫木󰁶
㥓	忄大丁口
㥔	忄亠厶月
㥕	火火心󰁧
㥖	󰀼亠八心
㥗	忄日文󰁶
㥘	忄土厶丶
㥙	忄口丨心
㥚	忄臼人󰁶
㥛	忄了口一
㥜	忄田月󰀝
㥝	忄弓耳󰀝
㥞	忄䒑󰀓󰁶
㥟	忄彑󰀓󰁶
㥠	忄乛󰁾月
㥡	忄尸匕木
㥢	忄丷西一
㥣	大土土心
㥤	󰁻乛亅心
㥥	忄日冂丶
㥦	匚大人心
㥧	忄丆貝󰁶
㥨	女土土心
㥩	忄土丿日
㥪	忄米女󰀝
㥫	忄󰁸日󰀝
㥬	忄亠丷方
㥭	忄三人氺
㥮	忄勹凵丿
㥯	爫工彐心
㥰	忄臼丨又
㥱	忄匚丨三
㥲	十󰀣八心
㥳	忄厂白小
㥴	忄⺁虍几
㥵	忄囗一󰀓
㥶	宀󰀀八心
㥷	广大人心
㥸	󰁂󰀁田心
㥹	米八刀心
㥺	忄土厶皿
㥻	戊丿朩心
㥼	忄一止灬
㥽	忄貝󰁶
㥾	忄匚艹口
㥿	󰁡攵心
㦀	忄夂三辶
㦁	車辶心󰁧
㦂	⺌冖口心
㦃	忄立丿
㦄	广木木心
㦅	忄廿儿丨
㦆	忄虍丿󰀛
㦇	忄󰁙󰁴匕
㦈	忄丷王皿
㦉	忄士冖䒑
㦊	忄艹一󰀟
㦋	忄大土日
㦌	毛毛毛心
㦍	忄口口丿
㦎	忄󰁬土一
㦏	忄巳巳八
㦐	忄󰀁二丶
㦑	忄乛耳攵
㦒	忄罒言󰀝
㦓	忄󰁝犬灬
㦔	日月犬心
㦕	忄阝夂
㦖	忄門心󰁶
㦗	忄木木小
㦘	白方攵心
㦙	忄日冂心
㦚	辛心辛󰀢
㦛	󰀗一ㄅ心
㦜	忄艹亻又
㦝	豸白儿心
㦞	士乛工心
㦟	豸日土心
㦠	忄业丷寸
㦡	忄白幺木
㦢	忄⺮󰁮卩
㦣	彳󰁆口心
㦤	士冖一心
㦥	忄宀三心
㦦	忄門臼儿
㦧	忄丿土日
㦨	忄門木󰀹
㦩	忄阝爫心
㦪	忄言火又
㦫	忄丿土貝
㦬	忄罒糹󰁷
㦭	忄󰀙口人
㦮	二戈󰀦
㦯	戈厶󰀞󰀌
㦰	人人戈󰀦
㦱	一戈土󰀌
㦲	十戈󰁡󰁫
㦳	十戈土󰀌
㦴	戈夂口󰀌
㦵	丿未戈󰁶
㦶	戈一厶土
㦷	厶用戈󰁶
㦸	󰀥早戈󰁶
㦹	日一勹戈
㦺	厂二󰀖戈
㦻	羽白戈󰁶
㦼	三人臼戈
㦽	月戈巛
㦾	丶尸也󰁫
㦿	丶尸木󰀦
㧀	丶尸乃󰂃
㧁	丶尸土厶
㧂	丶尸田󰀌
㧃	扌󰁐丨󰀢
㧄	扌凵󰀢
㧅	扌刀󰁥
㧆	扌冂丨󰀢
㧇	扌冂一󰀝
㧈	扌弓󰁀
㧉	扌气󰁀
㧊	扌一冂丨
㧋	扌犬󰁶
㧌	扌毛󰁀
㧍	扌方󰁥
㧎	扌󰀄亅丿
㧏	扌冂乂󰁶
㧐	扌又又󰁶
㧑	扌丶力丶
㧒	扌宀八󰁶
㧓	扌⺁厶󰂃
㧔	扌戊󰁶
㧕	扌󰁚丿卩
㧖	扌丶尸乙
㧗	扌止匕󰁀
㧘	止匕手󰀬
㧙	扌心丿󰁥
㧚	扌一󰁐丶
㧛	〢𠂉丶手
㧜	扌匚冂丨
㧝	力口手󰀬
㧞	扌丿又
㧟	扌氵匚󰁀
㧠	扌厶小󰁶
㧡	扌亠ㄥ人
㧢	扌囗大󰁶
㧣	扌丿未󰁶
㧤	扌亠厶儿
㧥	扌丿土儿
㧦	扌勹日󰀝
㧧	扌亠厶󰀸
㧨	扌⺁一口
㧩	扌几一丨
㧪	扌⺈厂⺋
㧫	扌丆冂〢
㧬	工几丶手
㧭	工阝手󰀬
㧮	扌臼󰀝
㧯	扌土丿匕
㧰	扌丿󰄃小
㧱	人一口手
㧲	扌宀木󰁶
㧳	扌八刀手
㧴	扌丿扌丶
㧵	扌丆卜口
㧶	扌丿󰀽丿
㧷	扌一大口
㧸	扌󰁸了󰀢
㧹	扌日一寸
㧺	扌水日󰀝
㧻	扌一󰀓丶
㧼	白󰀔󰁶
㧽	扌囗古󰀝
㧾	扌勹󰁤心
㧿	扌人人󰁾
㨀	扌禾󰁬󰀝
㨁	扌十󰀣󰀝
㨂	扌木日󰀝
㨃	扌󰁸子󰀝
㨄	扌󰀼土口
㨅	扌艹冂人
㨆	扌木木󰁶
㨇	氵皮手󰀬
㨈	扌文󰀳󰀝
㨉	扌󰁂󰀁日
㨊	扌工月
㨋	扌土丿日
㨌	士冖手又
㨍	土土寸手
㨎	扌丆冂大
㨏	扌山火
㨐	扌亻口木
㨑	扌乂凵夂
㨒	扌大土土
㨓	扌宀八󰀟
㨔	扌戊一口
㨕	扌乃又皿
㨖	扌一厶攵
㨗	扌󰀥󰁬󰁾
㨘	扌小丿目
㨙	扌爫幺大
㨚	扌艹勹日
㨛	扌門人󰁶
㨜	扌虍文󰁶
㨝	扌尸⺌月
㨞	扌幺小
㨟	扌山一䒑
㨠	扌冖日六
㨡	扌囗一󰀓
㨢	扌厶月匕
㨣	扌八厶羽
㨤	扌匚亻󰁷
㨥	扌糹冂人
㨦	扌亻󰁷又
㨧	扌厶大田
㨨	扌󰁚丶田
㨩	扌广丿廴
㨪	扌日⺌儿
㨫	扌〢𠂉皿
㨬	扌土口󰀔
㨭	扌丶尸巴
㨮	扌白󰁚儿
㨯	扌󰁸孑阝
㨰	扌六厶󰀔
㨱	扌󰁝言󰀝
㨲	扌艹宀木
㨳	扌宀大口
㨴	扌十早乙
㨵	扌䒑月刀
㨶	扌󰁟灬󰁶
㨷	扌廿口
㨸	扌宀心山
㨹	扌三丨彐
㨺	扌廿冂丶
㨻	車斤手󰀬
㨼	田夂口手
㨽	扌一口刂
㨾	扌丷王󰀩
㨿	扌虍夂几
㩀	扌虍勹󰂃
㩁	扌宀亻󰁷
㩂	扌⺈用十
㩃	扌宀󰀀󰁦
㩄	扌山田心
㩅	扌一〢田
㩆	扌󰁸小丶
㩇	扌󰁬土一
㩈	扌宀八口
㩉	扌人一羽
㩊	扌爫罒寸
㩋	扌󰁬十󰀲
㩌	扌弓󰀯貝
㩍	扌⺮木冂
㩎	扌日月犬
㩏	扌󰀹土灬
㩐	扌⺮土寸
㩑	扌一大三
㩒	扌木木小
㩓	臼工几手
㩔	扌尸󰁺又
㩕	扌󰀙人󰁻
㩖	扌一田一
㩗	扌山亻乃
㩘	扌丷王丶
㩙	扌宀󰀀土
㩚	扌艹冖󰀓
㩛	扌囗一寸
㩜	扌匚丨皿
㩝	扌󰁸冖󰀓
㩞	扌火火木
㩟	扌宀󰀀朩
㩠	扌󰁙󰁴灬
㩡	扌石石石
㩢	扌艹罒人
㩣	扌羽冖車
㩤	扌甫方攵
㩥	扌十戈󰀞
㩦	扌亻󰁷口
㩧	扌日󰁺氺
㩨	扌三丨心
㩩	扌匕水貝
㩪	扌糹丆貝
㩫	扌斤斤貝
㩬	扌虍业戈
㩭	扌󰀗乂子
㩮	扌󰀗一手
㩯	扌𠂉母小
㩰	扌艹口木
㩱	扌爫罒寸
㩲	扌艹口󰁷
㩳	扌亻󰁷又
㩴	扌目目󰁷
㩵	扌虍一犬
㩶	扌⺮一乂
㩷	扌宀󰀀灬
㩸	扌田田亠
㩹	扌又又一
㩺	󰁴󰁴十又
㩻	⺈厂⺋又
㩼	夕夕十又
㩽	木口十又
㩾	ノ一艹又
㩿	𠂉乙攵󰁶
㪀	一󰀛攵󰁶
㪁	人丶乛又
㪂	气󰀥又󰁶
㪃	丁口󰀥又
㪄	弓󰀯攵󰁶
㪅	一冂人又
㪆	󰁚󰀁丶又
㪇	丿土儿攵
㪈	土土󰀥又
㪉	人一口攵
㪊	󰁬丿口又
㪋	日干󰀥又
㪌	󰁻用󰀥又
㪍	十冖孑攵
㪎	大人人又
㪏	白丿十又
㪐	丶尸犬又
㪑	大日󰁐又
㪒	臼儿󰀥又
㪓	丿十丬又
㪔	木木󰀥又
㪕	󰀥早󰀥又
㪖	󰁭氺󰀥又
㪗	立口󰀥又
㪘	人一口攵
㪙	日木攵󰁶
㪚	󰁺日攵󰁶
㪛	󰀎八󰄃又
㪜	山丆冂又
㪝	木󰀹󰀥又
㪞	󰀰目󰀥又
㪟	󰁸日攵󰁶
㪠	䒑󰁬〢又
㪡	宀三丨又
㪢	臼丨又又
㪣	󰁸冂口攵
㪤	日艹󰀟攵
㪥	虍󰀐󰀞又
㪦	宀一由攵
㪧	人一口又
㪨	羊䒑口又
㪩	󰁬十󰀲又
㪪	一大丨又
㪫	󰀥冖一又
㪬	羽亻󰁷又
㪭	虍田皿又
㪮	󰀙口口又
㪯	文󰀟󰀬
㪰	文米󰁧
㪱	文⺈ㄇ大
㪲	󰁦十乛󰀅
㪳	󰁦十口󰀘
㪴	二儿󰁦十
㪵	丷󰀠󰁦十
㪶	丆日󰁦十
㪷	一口䒑十
㪸	󰀎八󰁦十
㪹	󰀻女󰁦十
㪺	大目目十
㪻	言糹糹十
㪼	丁口斤󰀢
㪽	一日斤󰀬
㪾	夂口斤󰀢
㪿	凵丿凵斤
㫀	日日斤󰀢
㫁	幺幺一斤
㫂	广廿灬斤
㫃	方人󰁶
㫄	二勹方󰁣
㫅	方人二󰀯
㫆	方人小󰁶
㫇	方人󰁦乛
㫈	方人󰁦口
㫉	方⺈厂⺋
㫊	方𠂉丁口
㫋	方𠂉冂土
㫌	方𠂉一止
㫍	方𠂉亻攵
㫎	方𠂉冖車
㫏	方𠂉覀女
㫐	日匕󰀅
㫑	日力󰁥
㫒	日廾󰀬
㫓	日𠂉乙󰁀
㫔	日上󰀘
㫕	日一儿󰀅
㫖	上日󰀘
㫗	日子󰀘
㫘	丆卜日󰀘
㫙	日夫󰁶
㫚	勹󰁤日󰀘
㫛	日口儿󰁀
㫜	日日一󰀝
㫝	日󰁚󰀁丶
㫞	日凵丨又
㫟	日几口󰀝
㫠	日丷󰀟󰀢
㫡	日夂󰁦󰁧
㫢	日土厶󰁶
㫣	日日乚󰀅
㫤	日丶𠃌󰀩
㫥	日夕口󰀝
㫦	亻丨夂日
㫧	日米󰁧
㫨	日宀女󰀝
㫩	十艹日󰀘
㫪	三人丨日
㫫	日一业󰀘
㫬	日勹日󰀝
㫭	日土寸󰁧
㫮	止匕日󰀘
㫯	日日一儿
㫰	日丶艮󰁶
㫱	日土󰁖󰁧
㫲	日十冖子
㫳	厂二󰀖日
㫴	日土丿子
㫵	日丨三三
㫶	日彐冖丨
㫷	󰀎八日󰀘
㫸	日一󰁬󰁾
㫹	日⺁󰁃斤
㫺	人人人日
㫻	日人一艹
㫼	日𠂉一刂
㫽	日󰁭氺󰁶
㫾	日⺌冂口
㫿	日亻󰁷󰀝
㬀	日󰁸子󰀝
㬁	日氵人口
㬂	日日冂丶
㬃	日厶口火
㬄	日厂土󰁖
㬅	日罒方󰁣
㬆	日󰁂󰀁日
㬇	日⺈ㄇ大
㬈	日日皿󰀝
㬉	日丆冂大
㬊	日爫一又
㬋	日亻ユ大
㬌	日亠日小
㬍	日甫寸󰁶
㬎	日幺幺灬
㬏	日一口丨
㬐	日一业日
㬑	日󰁸孑阝
㬒	日艹犬廾
㬓	日覀二小
㬔	日羽人彡
㬕	日礻󰁶羊
㬖	日丶尸口
㬗	日󰁝犬灬
㬘	日󰁬十󰀲
㬙	日爫丿灬
㬚	日亠厶攵
㬛	日人一羽
㬜	一厶土日
㬝	日丷󰀺日
㬞	日山日󰄃
㬟	勹󰁤丷日
㬠	日⺈彐灬
㬡	日󰀙人󰁻
㬢	日丷王丶
㬣	日业丷寸
㬤	日日幺灬
㬥	日凵山米
㬦	日艹亻又
㬧	日凵山小
㬨	日土󰁖󰁖
㬩	日三丨心
㬪	日日日彑
㬫	廿口丬日
㬬	日目目󰁷
㬭	日爫罒寸
㬮	日廿口󰁷
㬯	日󰄹月丶
㬰	日人󰀦
㬱	丿土儿日
㬲	一日乂皿
㬳	月𠂉十󰀢
㬴	月󰁺八󰁶
㬵	月六乂󰁶
㬶	月丿土口
㬷	月囗木󰁶
㬸	月艹亻ヒ
㬹	月⺈󰁬亅
㬺	月丷夫丨
㬻	月艹亠󰀸
㬼	月𠂉夂
㬽	月口口ㄅ
㬾	匚𠂉大月
㬿	月󰁸孑攵
㭀	月⺮工人
㭁	木乃󰁥
㭂	木小󰁶
㭃	木幺󰁶
㭄	木⺄十󰀢
㭅	木三󰀝
㭆	乃一木󰁧
㭇	木厶儿󰁀
㭈	木ユ人󰁶
㭉	艹木󰁧
㭊	木丿丨󰁈
㭋	木三丨󰀢
㭌	木丿󰀟󰀢
㭍	冫七木󰁧
㭎	木冂乂󰁶
㭏	木二𠃌丨
㭐	大一木󰁧
㭑	木未󰁶
㭒	木󰃧󰀝
㭓	木厶廾󰀢
㭔	木丿丷󰀛
㭕	木土厶󰁶
㭖	木亻󰀁丶
㭗	木皿󰀘
㭘	木人一口
㭙	木土寸󰁶
㭚	木𠂉󰀕󰁶
㭛	木⺁󰀕󰁶
㭜	木戈󰁥
㭝	木木九󰀅
㭞	木小丿力
㭟	󰁺八木󰁧
㭠	木丿土儿
㭡	木丿囗乂
㭢	木一廾刂
㭣	木门口󰀝
㭤	木󰁠一󰀝
㭥	木⺈贝󰁶
㭦	木宀丿七
㭧	丿󰁪木󰁧
㭨	木󰀄亅阝
㭩	木爫寸󰁶
㭪	木甫󰁶
㭫	木人人土
㭬	木一󰀓󰁶
㭭	木口力刂
㭮	木巛一夕
㭯	木耳乚󰁀
㭰	止匕木冂
㭱	木匚甲󰀢
㭲	木八人口
㭳	木土丿子
㭴	木〢又土
㭵	木勹田󰀝
㭶	木艹方󰁥
㭷	木田力󰁥
㭸	木⺈口丶
㭹	木弓亠幺
㭺	木大日乚
㭻	木⺌冂口
㭼	木水日󰀝
㭽	木广󰁚丶
㭾	木尸凵山
㭿	木日󰁚卩
㮀	木了󰀪凵
㮁	木乂月
㮂	目大木󰁧
㮃	木禾女󰀝
㮄	木二勹方
㮅	木亻󰁷󰀘
㮆	木人羊󰀢
㮇	木一大⺗
㮈	木大二小
㮉	木亻一大
㮊	木󰁻乛木
㮋	木月阝
㮌	木丆囗二
㮍	䒑月刂木
㮎	木丆卜皿
㮏	木木二小
㮐	木小丿目
㮑	木丿十臼
㮒	木覀土󰀝
㮓	木忄一一
㮔	木丿一土
㮕	木丆冂大
㮖	木廿󰀜󰀢
㮗	󰁻乛亅木
㮘	木󰁻乛攵
㮙	木口口ㄅ
㮚	󰀥囗人木
㮛	木日一󰁾
㮜	木匚爿士
㮝	木八人卩
㮞	木冫⺈口
㮟	木石木󰁶
㮠	木艹冖木
㮡	火匚󰁃木
㮢	木亻ユ大
㮣	󰁮󰀄󰁜木
㮤	宀八人木
㮥	木厶大田
㮦	木十冖小
㮧	木󰁞灬󰁶
㮨	木田八夂
㮩	木丿目心
㮪	木工几木
㮫	木宀三口
㮬	木八厶羽
㮭	木󰁻囗十
㮮	木三丨手
㮯	木囗一󰀓
㮰	木丿囗匕
㮱	木艹丿儿
㮲	木勹凵丿
㮳	木月䒑大
㮴	木臼丨又
㮵	木方𠂉亠
㮶	木䒑凵月
㮷	木乚日
㮸	木䒑大辶
㮹	木一厶攵
㮺	木一口口
㮻	木又丶虫
㮼	木丶尸羽
㮽	木丿󰁪又
㮾	丶󰁮月木
㮿	木日艹󰀟
㯀	木方𠂉󰁾
㯁	木阝立口
㯂	木廿儿丨
㯃	木木人氺
㯄	木木⺁巴
㯅	木广白十
㯆	木立丿
㯇	木丨三土
㯈	木木口辶
㯉	木虍丿󰀛
㯊	木一止灬
㯋	匕木丆貝
㯌	木一󰀓辶
㯍	木爿󰁝寸
㯎	木言木󰁶
㯏	士󰁅几木
㯐	阝工木
㯑	木弓󰀍󰀖
㯒	木爫目儿
㯓	木人一羽
㯔	毛毛毛木
㯕	木󰀎八斤
㯖	木十罒心
㯗	木門木󰁶
㯘	木士二人
㯙	木亠厶攵
㯚	木⺮人口
㯛	木士冖一
㯜	木艹亠十
㯝	木口止口
㯞	木糹口月
㯟	木木󰁭氺
㯠	木亠幺󰀟
㯡	木人氺巳
㯢	木巳巳八
㯣	木艹八木
㯤	木人人人
㯥	木日木日
㯦	木󰀎八木
㯧	木土󰁾口
㯨	木覀米󰁶
㯩	又又又人
㯪	木󰀙人󰁻
㯫	木虍一󰀓
㯬	木木󰁬廴
㯭	木虍田力
㯮	木罒勹虫
㯯	木夂㐄貝
㯰	木罒十󰀣
㯱	一口丨木
㯲	木木木小
㯳	木艹勹攵
㯴	木艹宀口
㯵	木艹丿土
㯶	木󰁘凵夂
㯷	木亻业夫
㯸	木󰁬丨皿
㯹	木覀二寸
㯺	匚丨󰁃木
㯻	一口丨木
㯼	木艹土皿
㯽	木宀󰁅貝
㯾	木一ㄇ辶
㯿	木巛囗󰁒
㰀	木禾勹氺
㰁	木石石石
㰂	木宀丿田
㰃	木白冂小
㰄	木貝戈戈
㰅	木亠丷辶
㰆	一口丨木
㰇	木十戈󰀞
㰈	木木車辶
㰉	木一厶禾
㰊	木土八火
㰋	木止󰀤貝
㰌	木󰀙亻󰁷
㰍	立月一木
㰎	木山亻𠃌
㰏	木⺮󰁸口
㰐	木阝辶
㰑	木心心木
㰒	木󰀗乂子
㰓	木匚丨貝
㰔	木言火又
㰕	木丷王丶
㰖	木匚丨儿
㰗	木戊上󰁾
㰘	木彑米廾
㰙	木廿口󰁷
㰚	木亠乂󰁷
㰛	木艹白木
㰜	木十󰀣貝
㰝	󰁂⺈人󰁶
㰞	山⺈人󰁶
㰟	气⺈人󰁶
㰠	亠几⺈人
㰡	人󰀯⺈人
㰢	一廾⺈人
㰣	止󰁴⺈人
㰤	丁口⺈人
㰥	廿󰄃⺈人
㰦	土厶⺈人
㰧	厶口⺈人
㰨	口八⺈人
㰩	虫⺈人󰁶
㰪	土土⺈人
㰫	丿土儿人
㰬	勹日⺈人
㰭	大二ㄅ人
㰮	厂二󰀖人
㰯	一口䒑人
㰰	大人人人
㰱	丿一日人
㰲	戈口󰀞人
㰳	一󰀚󰀞人
㰴	立口⺈人
㰵	亠人人人
㰶	夂卜口人
㰷	一夕󰁴人
㰸	人一口人
㰹	戊一口人
㰺	󰁃丨二人
㰻	士口䒑人
㰼	匚大人人
㰽	匚日女人
㰾	白方⺈人
㰿	爫幺大人
㱀	勹凵丿人
㱁	凵山二人
㱂	广󰁬氺人
㱃	人丶乛人
㱄	󰀹土灬人
㱅	士冖一人
㱆	虍一口人
㱇	土人人人
㱈	木木二人
㱉	业䒑未人
㱊	丆󰀐冖人
㱋	󰀙亻󰁷人
㱌	耳耳耳人
㱍	言糹糹人
㱎	罒󰀫󰁢人
㱏	二止󰀘
㱐	二止丶󰀦
㱑	止夕󰁧
㱒	止丁口󰀘
㱓	止人丶󰁻
㱔	止匕夕󰁧
㱕	止彐冖丨
㱖	止亠人十
㱗	止丿目犬
㱘	厂日月止
㱙	一夕一ㄅ
㱚	一夕月󰀝
㱛	一夕一夕
㱜	一夕󰁾󰁶
㱝	一夕󰁴力
㱞	一夕立󰀝
㱟	一夕皮󰁶
㱠	一夕古󰀝
㱡	一夕丿儿
㱢	一夕丶艮
㱣	一夕爫女
㱤	一夕木斤
㱥	一夕土夂
㱦	一夕大口
㱧	一夕宀⺋
㱨	一夕宀󰁾
㱩	一夕十大
㱪	一夕󰁂日
㱫	一夕木󰀹
㱬	一夕田󰀖
㱭	一夕丿又
㱮	一夕口贝
㱯	一夕山䒑
㱰	一夕宀辛
㱱	一夕白厶
㱲	一夕䒑皿
㱳	艹日大夕
㱴	一夕貝
㱵	一夕十貝
㱶	一夕士彡
㱷	一夕亻木
㱸	一夕尸辛
㱹	一夕厂止
㱺	一夕虍皿
㱻	一夕󰄹丶
㱼	󰁂几又󰁶
㱽	冖󰁜几又
㱾	亠ㄥ丿又
㱿	士冂一又
㲀	厂二󰀖又
㲁	宀八工又
㲂	⺌冂口又
㲃	󰀥日󰁴又
㲄	士冖王又
㲅	宀三丨又
㲆	士󰁅几󰁻
㲇	士󰁅几󰁦
㲈	士󰁅几口
㲉	士冖一又
㲊	󰀥冖一又
㲋	⺈口󰁴匕
㲌	毛乃󰀏
㲍	十又毛󰁫
㲎	毛毛󰁀
㲏	丿丨一毛
㲐	毛人丶乛
㲑	毛水󰀦
㲒	勹口毛󰁀
㲓	毛戈人󰀦
㲔	辛毛󰁀
㲕	爫寸毛󰁀
㲖	⺌月毛󰁀
㲗	爫孑毛󰁀
