⺁	⺁丿丿
㟧	山口口ㄅ
㟨	山山丆〢
㟩	󰁂󰀁攵山
㟪	山田一󰀖
㟫	山白水󰁶
㟬	山臼丨又
㟭	山󰁂󰀁日
㟮	山宀八犬
㟯	山宀夂口
㟰	山冖日六
㟱	山丷王灬
㟲	山厂白小
㟳	山覀木󰁶
㟴	山白󰁜厶
㟵	山罒一止
㟶	山厂白小
㟷	山艹人口
㟸	山白大十
㟹	山耳󰁚卩
㟺	山󰀻女󰀘
㟻	車斤山󰀬
㟼	山󰁡攵
㟽	山覀二小
㟾	山广󰁬丨
㟿	山艹犬廾
㠀	󰁟灬山󰀬
㠁	山厶厶彡
㠂	山󰁡攵
㠃	山亠丷古
㠄	山羽白󰀘
㠅	山彳𠂉夂
㠆	山口口十
㠇	山󰁸小丶
㠈	山門王󰀝
㠉	山立日土
㠊	山虍业󰀝
㠋	山口口ㄅ
㠌	山󰀎八人
㠍	山亻󰁷木
㠎	山亻󰁷木
㠏	山艹一󰀟
㠐	山丿大口
㠑	山罒丨三
㠒	山覀二刂
㠓	山艹冖󰀓
㠔	山尸口辛
㠕	山阝丿厶
㠖	山丷王丶
㠗	山丿ㄇ大
㠘	山󰀗一八
㠙	山󰁸冖󰀓
㠚	山业丷寸
㠛	山艹亻又
㠜	山匕𠂉󰁾
㠝	山夫夫貝
㠞	彳山一山
㠟	山禾勹氺
㠠	山虍田皿
㠡	山亠󰀋󰀔
㠢	山白󰁜󰀔
㠣	山厂禾止
㠤	山亠口󰀔
㠥	山田田土
㠦	山山三䒑
㠧	山广木三
㠨	山木乂寸
㠩	人󰄃󰀸󰀅
㠪	一上󰀌
㠫	工几丶夫
㠬	工口夫󰁧
㠭	工工工工
㠮	䒑业日工
㠯	󰃧丨󰁈一
㠰	力口己󰀅
㠱	己󰀎八󰁧
㠲	冂丨匕󰁀
㠳	丿󰂃冂丨
㠴	冂丨刀丶
㠵	亠󰄃冂丨
㠶	冂丨丿几
㠷	冂丨乃󰂃
㠸	冂丨夫󰁶
㠹	冂丨人󰀯
㠺	冂丨小丿
㠻	土丿冂丨
㠼	冂丨斤󰀢
㠽	冂丨夂󰁦
㠾	夕⺋冂丨
㠿	止匕冂丨
㡀	㡀丶丿丶
㡁	冂丨大ㄅ
㡂	一夕刂丨
㡃	冂丨人󰀸
㡄	冂丨勹日
